PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
21450002,"The NA regulatory circuit in P. putida has evolved an additional repression loop based on the NicR-dependent cross regulation of the nicS gene, thus assuring a tight transcriptional control of the catabolic genes that may prevent depletion of this vitamin B3 when needed for the synthesis of essential cofactors.",P. putida,DISEASE,evolve,additional repression loop,MENTAL_HEALTH
23682586,"As a preventive measure against active TB disease, the screening for latent TB infection should be widely practiced, followed by at least 6-9 months of isoniazid treatment.",latent TB infection,DISEASE,practiced as preventive measure against,active TB disease,DISEASE
23682586,"As a preventive measure against active TB disease, the screening for latent TB infection should be widely practiced, followed by at least 6-9 months of isoniazid treatment.",latent TB infection,DISEASE,follow by,isoniazid treatment,CHEMICAL
10570809,"Bacteriocin production is growth associated but the yield of bacteriocin per unit biomass is affected by several factors, including the producing strain, media (carbohydrate and nitrogen sources, cations, etc.) and fermentation conditions (pH, temperature, agitation, aeration and dilution rate in continuous fermentations).",bacteriocin,CHEMICAL,affected by,carbohydrate,CHEMICAL
10570809,"Bacteriocin production is growth associated but the yield of bacteriocin per unit biomass is affected by several factors, including the producing strain, media (carbohydrate and nitrogen sources, cations, etc.) and fermentation conditions (pH, temperature, agitation, aeration and dilution rate in continuous fermentations).",bacteriocin,CHEMICAL,affected by,nitrogen,CHEMICAL
10570809,"Bacteriocin production is growth associated but the yield of bacteriocin per unit biomass is affected by several factors, including the producing strain, media (carbohydrate and nitrogen sources, cations, etc.) and fermentation conditions (pH, temperature, agitation, aeration and dilution rate in continuous fermentations).",bacteriocin,CHEMICAL,affected by,agitation,MENTAL_HEALTH
26340057,"Mammary tumours were induced by N-methyl-N-nitrosourea (50 mg/kg, intraperitoneal, on the 41st postnatal day).",Mammary tumours,DISEASE,induced by,N-methyl-N-nitrosourea,CHEMICAL
32753819,Wernicke's encephalopathy is an acute neurological disorder caused due to thiamine deficiency.,acute neurological disorder,DISEASE,cause due to,thiamine deficiency,NUTRITION
31830945,"Here, the presenting symptoms and clinical course of a case of MSUD with a novel DBT gene mutation are described.",MSUD,DISEASE,have a case with,novel DBT gene mutation,CHEMICAL
35204268,"The potential ergogenic effect of anthocyanin supplementation on cycling-induced responses seems to be related to lower oxidative stress, inflammation, muscle damage, and fatigue, and increased production of nitric oxide, with subsequent improvements in vascular function and muscle oxygenation leading to improved performance.",anthocyanin supplementation,NUTRITION,increase production of,nitric oxide,CHEMICAL
35204268,"The potential ergogenic effect of anthocyanin supplementation on cycling-induced responses seems to be related to lower oxidative stress, inflammation, muscle damage, and fatigue, and increased production of nitric oxide, with subsequent improvements in vascular function and muscle oxygenation leading to improved performance.",anthocyanin supplementation,NUTRITION,seem to related to,muscle damage,DISEASE
35204268,"The potential ergogenic effect of anthocyanin supplementation on cycling-induced responses seems to be related to lower oxidative stress, inflammation, muscle damage, and fatigue, and increased production of nitric oxide, with subsequent improvements in vascular function and muscle oxygenation leading to improved performance.",anthocyanin supplementation,NUTRITION,seem to related to,fatigue,MENTAL_HEALTH
35204268,"The potential ergogenic effect of anthocyanin supplementation on cycling-induced responses seems to be related to lower oxidative stress, inflammation, muscle damage, and fatigue, and increased production of nitric oxide, with subsequent improvements in vascular function and muscle oxygenation leading to improved performance.",anthocyanin supplementation,NUTRITION,seem to related to,inflammation,DISEASE
26312244,"The ""deadly quartet"": excessive weight, hypertension, impaired glucose homeostasis, and atherogenic dyslipidemia constitute a greater threat to health than the added effects of smoking and alcohol abuse.",atherogenic dyslipidemia,DISEASE,constitute greater threat to health than added effects of,abuse,MENTAL_HEALTH
21521362,"Nevertheless, it still remains to be found the mechanism by which vitamin A induces cognitive decline.",vitamin A,BIOCHEMICAL,induce by,cognitive decline,DISEASE
21521362,"Based on the fact that vitamin A at clinical doses is a potent pro-oxidant agent to the central nervous system, we performed the present work to analyze whether a cotreatment with L-NAME at 30 mg/kg (four times a week) was able to prevent (or minimize) the biochemical and/or behavioral disturbances resulting from a 28-day daily supplementation with retinol palmitate at doses from 1000 to 9000 IU/kg/day.",L-NAME,CHEMICAL,minimize,biochemical disturbances,DISEASE
7913073,Hydralazine (1 mM) produced a rightward shift with depression of the maximal tension of the concentration-response curves for all the agonists tested.,Hydralazine,CHEMICAL,produce rightward shift with,depression,MENTAL_HEALTH
1982669,3. Prazosin (1-50 nM) markedly depressed maximum contractile responses to PE of endothelium-intact (but not denuded) thoracic aortic rings from both non-pregnant and 20-day pregnant rats.,Prazosin,CHEMICAL,depress maximum contractile responses to pe of,endothelium-intact aortic rings,CHEMICAL
34535086,"This prospective randomized, double - blind study investigates the impact of desflurane and sevoflurane on recovery and early postoperative cognitive function of these patients.",desflurane,CHEMICAL,have the impact on,postoperative cognitive function,DISEASE
34535086,"This prospective randomized, double - blind study investigates the impact of desflurane and sevoflurane on recovery and early postoperative cognitive function of these patients.",sevoflurane,CHEMICAL,have the impact on,postoperative cognitive function,DISEASE
32748152,Saturated fatty acid esters may cause mastalgia via hypersensitivity of breast epithelium to circulating hormones.,Saturated fatty acid esters,NUTRITION,cause mastalgia via,hypersensitivity,DISEASE
30463345,"In vitro, Annurca Apple Polyphenolic Extract (AAE) protects murine Hair Follicles (HF) from taxanes induced dystrophy.",AAE,DISEASE,protect,taxanes,CHEMICAL
30463345,"AAE forces HFs to produce ATP using mitochondrial β-oxidation, reducing Pentose Phosphate Pathway (PPP) rate and nucleotides production.",AAE forces,DISEASE,produce,ATP,CHEMICAL
30463345,"Moreover, measuring the effect exerted on Poly Unsaturated Fatty Acid (PUFA) metabolism, we prove that AAE promotes hair-growth by increasing the intracellular levels of Prostaglandins F2α (PGF2α) and by hijacking PUFA catabolites toward β-oxidation.",AAE,DISEASE,hijack,PUFA catabolites,CHEMICAL
28934522,"In anesthetized rats, dronabinol attenuates reflex apnea via activation of cannabinoid (CB) receptors located on vagal afferents; an effect blocked by cannabinoid type 1 (CB1) and/or type 2 (CB2) receptor antagonists.",dronabinol,CHEMICAL,reflex,apnea,DISEASE
7965440,"Two adolescents with a long history of abuse of lysergic acid diethylamide (LSD) and symptoms consistent with major depressive disorder, on initiation of antidepressant therapy with selective serotonin reuptake inhibitor agents, had the new onset or worsening of LSD flashback syndrome.",antidepressant therapy,CHEMICAL,have initiation with,selective serotonin reuptake inhibitor agents,CHEMICAL
7965440,The similarity in neuroreceptor physiology for both LSD and serotonin suggests that the LSD flashback syndrome may be induced by these drugs in patients with a history of LSD abuse.,LSD flashback syndrome,MENTAL_HEALTH,induced by drugs in patients with history of,LSD abuse,DISEASE
20100992,"alpha-Adrenoceptor antagonists have been a rational first choice; nevertheless, calcium channel blockers are primarily used in autonomic dysreflexia management.",calcium channel,CHEMICAL,used in,autonomic dysreflexia management,DISEASE
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",Upper leg blood flow,DISEASE,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,femoral artery,DISEASE
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",Upper leg blood flow,DISEASE,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,phentolamine,CHEMICAL
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",Upper leg blood flow,DISEASE,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,calcium channel blocker,CHEMICAL
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",Upper leg blood flow,DISEASE,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,nicardipine,CHEMICAL
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",Upper leg blood flow,DISEASE,use,venous occlusion plethysmography,DISEASE
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",phentolamine,CHEMICAL,leg vascular resistance increase during,autonomic dysreflexia,DISEASE
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",phentolamine,CHEMICAL,leg vascular resistance increase during,nicardipine,CHEMICAL
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",phentolamine,CHEMICAL,leg,resistance increase,MENTAL_HEALTH
